date,datatype,station,attributes,value
2023-01-01T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",94
2023-01-01T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",111
2023-01-01T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",117
2023-01-01T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",133
2023-01-01T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",122
2023-01-01T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",139
2023-01-01T00:00:00,TMAX,GHCND:USC00309580,",,7,",139
2023-01-01T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",128
2023-01-01T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",144
2023-01-01T00:00:00,TMAX,GHCND:USW00054743,",,W,",128
2023-01-01T00:00:00,TMAX,GHCND:USW00054787,",,W,",133
2023-01-01T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",128
2023-01-01T00:00:00,TMAX,GHCND:USW00094741,",,W,",122
2023-01-01T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",111
2023-01-01T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",133
2023-01-02T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",106
2023-01-02T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",122
2023-01-02T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",128
2023-01-02T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",128
2023-01-02T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",106
2023-01-02T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",111
2023-01-02T00:00:00,TMAX,GHCND:USC00309580,",,7,",133
2023-01-02T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",133
2023-01-02T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",150
2023-01-02T00:00:00,TMAX,GHCND:USW00054743,",,W,",133
2023-01-02T00:00:00,TMAX,GHCND:USW00054787,",,W,",128
2023-01-02T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",133
2023-01-02T00:00:00,TMAX,GHCND:USW00094741,",,W,",133
2023-01-02T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",111
2023-01-02T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",128
2023-01-03T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",117
2023-01-03T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",128
2023-01-03T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",133
2023-01-03T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",133
2023-01-03T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",117
2023-01-03T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",111
2023-01-03T00:00:00,TMAX,GHCND:USC00309580,",,7,",133
2023-01-03T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",128
2023-01-03T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",133
2023-01-03T00:00:00,TMAX,GHCND:USW00054743,",,W,",122
2023-01-03T00:00:00,TMAX,GHCND:USW00054787,",,W,",122
2023-01-03T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",144
2023-01-03T00:00:00,TMAX,GHCND:USW00094741,",,W,",128
2023-01-03T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",122
2023-01-03T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",100
2023-01-04T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",111
2023-01-04T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",122
2023-01-04T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",122
2023-01-04T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",156
2023-01-04T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",111
2023-01-04T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",111
2023-01-04T00:00:00,TMAX,GHCND:USC00309580,",,7,",139
2023-01-04T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",189
2023-01-04T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",189
2023-01-04T00:00:00,TMAX,GHCND:USW00054743,",,W,",189
2023-01-04T00:00:00,TMAX,GHCND:USW00054787,",,W,",183
2023-01-04T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",189
2023-01-04T00:00:00,TMAX,GHCND:USW00094741,",,W,",178
2023-01-04T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",183
2023-01-04T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",161
2023-01-05T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",183
2023-01-05T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",183
2023-01-05T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",183
2023-01-05T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",183
2023-01-05T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",194
2023-01-05T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",183
2023-01-05T00:00:00,TMAX,GHCND:USC00309580,",,7,",172
2023-01-05T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",89
2023-01-05T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",128
2023-01-05T00:00:00,TMAX,GHCND:USW00054743,",,W,",128
2023-01-05T00:00:00,TMAX,GHCND:USW00054787,",,W,",111
2023-01-05T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",100
2023-01-05T00:00:00,TMAX,GHCND:USW00094741,",,W,",100
2023-01-05T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",89
2023-01-05T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",106
2023-01-06T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",111
2023-01-06T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",117
2023-01-06T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",111
2023-01-06T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",89
2023-01-06T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",78
2023-01-06T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",78
2023-01-06T00:00:00,TMAX,GHCND:USC00309580,",,7,",139
2023-01-06T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",89
2023-01-06T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",100
2023-01-06T00:00:00,TMAX,GHCND:USW00054743,",,W,",100
2023-01-06T00:00:00,TMAX,GHCND:USW00054787,",,W,",89
2023-01-06T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",94
2023-01-06T00:00:00,TMAX,GHCND:USW00094741,",,W,",100
2023-01-06T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",78
2023-01-06T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",83
2023-01-07T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",83
2023-01-07T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",89
2023-01-07T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",89
2023-01-07T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",78
2023-01-07T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",67
2023-01-07T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",72
2023-01-07T00:00:00,TMAX,GHCND:USC00309580,",,7,",139
2023-01-07T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",72
2023-01-07T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",89
2023-01-07T00:00:00,TMAX,GHCND:USW00054743,",,W,",67
2023-01-07T00:00:00,TMAX,GHCND:USW00054787,",,W,",78
2023-01-07T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",72
2023-01-07T00:00:00,TMAX,GHCND:USW00094741,",,W,",61
2023-01-07T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",61
2023-01-07T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",83
2023-01-08T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",61
2023-01-08T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",72
2023-01-08T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",67
2023-01-08T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",83
2023-01-08T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",67
2023-01-08T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",61
2023-01-08T00:00:00,TMAX,GHCND:USC00309580,",,7,",83
2023-01-08T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",44
2023-01-08T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",56
2023-01-08T00:00:00,TMAX,GHCND:USW00054743,",,W,",50
2023-01-08T00:00:00,TMAX,GHCND:USW00054787,",,W,",44
2023-01-08T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",50
2023-01-08T00:00:00,TMAX,GHCND:USW00094741,",,W,",44
2023-01-08T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",39
2023-01-08T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",50
2023-01-09T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",44
2023-01-09T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",56
2023-01-09T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",50
2023-01-09T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",39
2023-01-09T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",28
2023-01-09T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",33
2023-01-09T00:00:00,TMAX,GHCND:USC00309580,",,7,",67
2023-01-09T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",67
2023-01-09T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",89
2023-01-09T00:00:00,TMAX,GHCND:USW00054743,",,W,",67
2023-01-09T00:00:00,TMAX,GHCND:USW00054787,",,W,",72
2023-01-09T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",67
2023-01-09T00:00:00,TMAX,GHCND:USW00094741,",,W,",67
2023-01-09T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",61
2023-01-09T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",78
2023-01-10T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",56
2023-01-10T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",72
2023-01-10T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",67
2023-01-10T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",72
2023-01-10T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",50
2023-01-10T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",61
2023-01-10T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",50
2023-01-10T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",61
2023-01-10T00:00:00,TMAX,GHCND:USW00054743,",,W,",50
2023-01-10T00:00:00,TMAX,GHCND:USW00054787,",,W,",56
2023-01-10T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",50
2023-01-10T00:00:00,TMAX,GHCND:USW00094741,",,W,",50
2023-01-10T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",44
2023-01-10T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",50
2023-01-11T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",39
2023-01-11T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",44
2023-01-11T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",44
2023-01-11T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",44
2023-01-11T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",44
2023-01-11T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",44
2023-01-11T00:00:00,TMAX,GHCND:USC00309580,",,7,",67
2023-01-11T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",44
2023-01-11T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",50
2023-01-11T00:00:00,TMAX,GHCND:USW00054743,",,W,",39
2023-01-11T00:00:00,TMAX,GHCND:USW00054787,",,W,",50
2023-01-11T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",39
2023-01-11T00:00:00,TMAX,GHCND:USW00094741,",,W,",39
2023-01-11T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",28
2023-01-11T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",44
