date,datatype,station,attributes,value
2023-03-30T00:00:00,TMAX,GHCND:USC00300063,",,H,0700",122
2023-03-30T00:00:00,TMAX,GHCND:USC00300085,",,H,0700",89
2023-03-30T00:00:00,TMAX,GHCND:USC00300093,",,H,0800",89
2023-03-30T00:00:00,TMAX,GHCND:USC00300183,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00300321,",,H,0700",117
2023-03-30T00:00:00,TMAX,GHCND:USC00300331,",,H,",106
2023-03-30T00:00:00,TMAX,GHCND:USC00300343,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00300364,",,H,0700",117
2023-03-30T00:00:00,TMAX,GHCND:USC00300443,",,H,1500",83
2023-03-30T00:00:00,TMAX,GHCND:USC00300785,",,H,0700",67
2023-03-30T00:00:00,TMAX,GHCND:USC00300870,",,H,0700",117
2023-03-30T00:00:00,TMAX,GHCND:USC00300889,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00300937,",,H,0900",106
2023-03-30T00:00:00,TMAX,GHCND:USC00301068,",,H,0700",122
2023-03-30T00:00:00,TMAX,GHCND:USC00301152,",,H,0800",106
2023-03-30T00:00:00,TMAX,GHCND:USC00301211,",,H,0700",106
2023-03-30T00:00:00,TMAX,GHCND:USC00301264,",,H,0700",67
2023-03-30T00:00:00,TMAX,GHCND:USC00301309,",,H,0700",128
2023-03-30T00:00:00,TMAX,GHCND:USC00301625,",,H,",72
2023-03-30T00:00:00,TMAX,GHCND:USC00301752,",,H,2400",6
2023-03-30T00:00:00,TMAX,GHCND:USC00301787,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00301974,",,H,0800",117
2023-03-30T00:00:00,TMAX,GHCND:USC00302036,",,H,0800",100
2023-03-30T00:00:00,TMAX,GHCND:USC00302197,",,H,",89
2023-03-30T00:00:00,TMAX,GHCND:USC00302454,",,H,0700",111
2023-03-30T00:00:00,TMAX,GHCND:USC00302610,",,H,0700",117
2023-03-30T00:00:00,TMAX,GHCND:USC00303050,",,H,0800",94
2023-03-30T00:00:00,TMAX,GHCND:USC00303087,",,H,0700",111
2023-03-30T00:00:00,TMAX,GHCND:USC00303184,",,H,0800",117
2023-03-30T00:00:00,TMAX,GHCND:USC00303322,",,H,",61
2023-03-30T00:00:00,TMAX,GHCND:USC00303346,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00303773,",,H,2000",106
2023-03-30T00:00:00,TMAX,GHCND:USC00303851,",,H,0600",61
2023-03-30T00:00:00,TMAX,GHCND:USC00303983,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00304102,",,H,0700",61
2023-03-30T00:00:00,TMAX,GHCND:USC00304174,",,H,0700",111
2023-03-30T00:00:00,TMAX,GHCND:USC00304207,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00304555,",,H,0700",56
2023-03-30T00:00:00,TMAX,GHCND:USC00304575,",,H,0800",111
2023-03-30T00:00:00,TMAX,GHCND:USC00304808,",,H,0700",78
2023-03-30T00:00:00,TMAX,GHCND:USC00304844,",,H,1900",94
2023-03-30T00:00:00,TMAX,GHCND:USC00304912,",,H,0700",100
2023-03-30T00:00:00,TMAX,GHCND:USC00304952,",,H,0700",111
2023-03-30T00:00:00,TMAX,GHCND:USC00304996,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00305233,",,H,0700",106
2023-03-30T00:00:00,TMAX,GHCND:USC00305280,",,H,0700",111
2023-03-30T00:00:00,TMAX,GHCND:USC00305512,",,H,0700",83
2023-03-30T00:00:00,TMAX,GHCND:USC00305714,",,H,0700",78
2023-03-30T00:00:00,TMAX,GHCND:USC00306047,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00306085,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00306196,",,H,0730",94
2023-03-30T00:00:00,TMAX,GHCND:USC00306276,",,H,0800",106
2023-03-30T00:00:00,TMAX,GHCND:USC00306314,",,H,1730",94
2023-03-30T00:00:00,TMAX,GHCND:USC00306525,",,H,0700",94
2023-03-30T00:00:00,TMAX,GHCND:USC00306747,",,H,1630",28
2023-03-30T00:00:00,TMAX,GHCND:USC00306774,",,H,0700",133
2023-03-30T00:00:00,TMAX,GHCND:USC00307134,",,H,1700",61
2023-03-30T00:00:00,TMAX,GHCND:USC00307705,",,H,0700",106
2023-03-30T00:00:00,TMAX,GHCND:USC00307742,",,H,0600",133
2023-03-30T00:00:00,TMAX,GHCND:USC00308577,",,H,0800",106
2023-03-30T00:00:00,TMAX,GHCND:USC00308578,",,H,0800",100
2023-03-30T00:00:00,TMAX,GHCND:USC00308721,",,H,0700",106
2023-03-30T00:00:00,TMAX,GHCND:USC00308839,",,H,2400",122
2023-03-30T00:00:00,TMAX,GHCND:USC00308910,",,H,0700",78
2023-03-30T00:00:00,TMAX,GHCND:USC00308932,",,H,0600",100
2023-03-30T00:00:00,TMAX,GHCND:USC00308962,",,H,0700",78
2023-03-30T00:00:00,TMAX,GHCND:USC00309049,",,H,2000",28
2023-03-30T00:00:00,TMAX,GHCND:USC00309072,",,H,0500",100
2023-03-30T00:00:00,TMAX,GHCND:USC00309292,",,H,0700",128
2023-03-30T00:00:00,TMAX,GHCND:USC00309389,",,H,0800",122
2023-03-30T00:00:00,TMAX,GHCND:USC00309442,",,H,0700",106
2023-03-30T00:00:00,TMAX,GHCND:USC00309593,",,H,0700",83
2023-03-30T00:00:00,TMAX,GHCND:USR0000NGAN,"H,,U,",72
2023-03-30T00:00:00,TMAX,GHCND:USR0000NSCH,"H,,U,",22
2023-03-30T00:00:00,TMAX,GHCND:USR0000NSHR,"H,,U,",33
2023-03-30T00:00:00,TMAX,GHCND:USR0000NSTO,"H,,U,",67
2023-03-30T00:00:00,TMAX,GHCND:USW00004720,",,W,",28
2023-03-30T00:00:00,TMAX,GHCND:USW00004724,",,W,2400",28
2023-03-30T00:00:00,TMAX,GHCND:USW00004725,",,W,2400",22
2023-03-30T00:00:00,TMAX,GHCND:USW00004781,",,W,2400",72
2023-03-30T00:00:00,TMAX,GHCND:USW00004789,",,W,",50
2023-03-30T00:00:00,TMAX,GHCND:USW00014719,",,W,",72
