period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-04-04,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,54875,megawatthours
2023-04-04,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,54883,megawatthours
2023-04-04,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,54838,megawatthours
2023-04-04,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Mountain,Mountain,54894,megawatthours
2023-04-04,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Pacific,Pacific,54875,megawatthours
2023-04-04,AVA,Avista Corporation,D,Demand,Arizona,Arizona,38314,megawatthours
2023-04-04,AVA,Avista Corporation,D,Demand,Central,Central,38333,megawatthours
2023-04-04,AVA,Avista Corporation,D,Demand,Eastern,Eastern,38347,megawatthours
2023-04-04,AVA,Avista Corporation,D,Demand,Mountain,Mountain,38335,megawatthours
2023-04-04,AVA,Avista Corporation,D,Demand,Pacific,Pacific,38314,megawatthours
2023-04-04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,68132,megawatthours
2023-04-04,AZPS,Arizona Public Service Company,D,Demand,Central,Central,67695,megawatthours
2023-04-04,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,67534,megawatthours
2023-04-04,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67895,megawatthours
2023-04-04,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,68132,megawatthours
2023-04-04,BANC,Balancing Authority of Northern California,D,Demand,Arizona,Arizona,41483,megawatthours
2023-04-04,BANC,Balancing Authority of Northern California,D,Demand,Central,Central,41546,megawatthours
2023-04-04,BANC,Balancing Authority of Northern California,D,Demand,Eastern,Eastern,41589,megawatthours
2023-04-04,BANC,Balancing Authority of Northern California,D,Demand,Mountain,Mountain,41507,megawatthours
2023-04-04,BANC,Balancing Authority of Northern California,D,Demand,Pacific,Pacific,41483,megawatthours
2023-04-04,BPAT,Bonneville Power Administration,D,Demand,Arizona,Arizona,166967,megawatthours
2023-04-04,BPAT,Bonneville Power Administration,D,Demand,Central,Central,167182,megawatthours
2023-04-04,BPAT,Bonneville Power Administration,D,Demand,Eastern,Eastern,167343,megawatthours
2023-04-04,BPAT,Bonneville Power Administration,D,Demand,Mountain,Mountain,167029,megawatthours
2023-04-04,BPAT,Bonneville Power Administration,D,Demand,Pacific,Pacific,166967,megawatthours
2023-04-04,CAL,California,D,Demand,Arizona,Arizona,673637,megawatthours
2023-04-04,CAL,California,D,Demand,Central,Central,674049,megawatthours
2023-04-04,CAL,California,D,Demand,Eastern,Eastern,674402,megawatthours
2023-04-04,CAL,California,D,Demand,Mountain,Mountain,673707,megawatthours
2023-04-04,CAL,California,D,Demand,Pacific,Pacific,673637,megawatthours
2023-04-04,CAR,Carolinas,D,Demand,Arizona,Arizona,537324,megawatthours
