date,respondent,respondent-name,type,type-name,timezone,timezone-description,value_energy,value-units,datatype,station,attributes,value_weather
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",228
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",222
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",206
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",194
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",122
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",150
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00054743,",,W,",144
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00054787,",,W,",133
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00094741,",,W,",139
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",144
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",122
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",228
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",222
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",206
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",194
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",122
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",150
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00054743,",,W,",144
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00054787,",,W,",133
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00094741,",,W,",139
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",144
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",122
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",228
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",222
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",206
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",194
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",122
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",150
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00054743,",,W,",144
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00054787,",,W,",133
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00094741,",,W,",139
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",144
2023-04-05 00:00:00,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",122
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,52537,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",228
2023-04-05 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,52537,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",222
